20220816,2102,2119,4304,4249,4465,3151,1361,835,603,292,13,17,0,0,1,1,2,2,10,11,9,0,0,0,23,13,0
20220815,2092,2280,4087,4298,4454,3220,1299,686,473,222,13,11,1,0,1,2,2,2,11,11,8,0,0,0,22,16,0
20220814,2133,2155,3841,3947,4188,3094,1486,955,669,259,12,1,3,0,1,2,2,2,11,13,8,0,0,0,26,16,0
20220813,2139,2135,4352,4581,4021,3221,1379,967,704,259,10,5,3,0,1,2,2,1,11,14,9,0,0,0,27,16,0
20220812,1847,1832,3848,3921,3536,2652,1185,777,571,223,7,2,3,0,2,2,2,0,10,15,8,0,0,0,26,16,0
20220811,2967,2783,5616,5663,5462,4228,2059,1250,878,317,16,8,2,0,2,2,2,1,8,15,8,0,0,0,26,14,0
20220810,3358,2986,5681,6317,5971,4813,2205,1506,987,386,24,9,2,0,2,1,3,0,7,16,9,0,0,0,23,17,0
20220809,2859,2722,5280,5086,5051,4095,1790,1127,788,296,14,7,4,0,2,1,3,1,6,15,8,0,0,0,21,19,0
20220808,1815,1725,3639,2958,3068,2393,1037,640,408,173,8,20,3,0,1,1,4,1,6,14,8,1,0,0,20,19,0
20220807,2561,2534,4644,4418,4645,3482,1794,1215,718,286,12,4,3,0,2,0,3,2,6,11,9,0,0,0,19,17,0
20220806,2885,2851,5916,5370,5388,4038,1972,1302,875,349,20,4,3,0,2,0,3,2,7,11,9,0,0,0,20,17,0
20220805,3380,3450,7924,6684,6501,4855,2259,1387,909,390,19,9,3,0,2,0,4,3,7,12,7,0,0,0,19,19,0
20220804,3350,3338,6613,6271,6328,4681,2102,1413,892,321,13,17,3,1,2,0,5,3,7,13,5,0,0,0,21,18,0
20220719,1285,1667,2092,1763,1687,1263,555,357,239,103,2,5,0,1,2,1,1,2,4,5,2,1,0,0,13,6,0
20220718,1643,2006,2377,1955,1949,1351,640,416,252,98,8,1,0,1,1,1,1,2,3,5,0,1,0,0,10,5,0
20220717,1950,2559,3456,2849,2679,2125,1006,666,372,121,7,0,0,1,1,1,1,2,2,4,0,1,0,0,9,4,0
20220716,1962,2520,3975,3157,3029,2164,986,630,360,130,6,0,0,2,1,1,1,2,2,4,0,1,0,0,10,4,0
20220715,1773,2393,4273,3181,3001,2364,982,636,362,89,5,0,0,2,1,1,1,3,2,5,0,1,0,0,11,5,0
20220714,1596,1995,3802,2953,2721,1913,867,492,254,67,2,0,0,2,1,1,1,3,2,3,1,1,0,0,11,4,0
20220713,1925,2198,3589,2879,2670,1908,874,483,256,94,2,0,0,2,1,0,1,3,2,3,0,1,0,0,9,4,0
20220712,1309,1479,2310,1954,1828,1337,614,383,220,72,5,0,0,1,1,0,1,1,3,4,0,1,0,0,7,5,0
20220711,724,816,1277,1088,969,716,318,144,117,61,1,0,0,1,1,0,0,1,1,3,1,1,0,0,4,5,0
20220710,1088,1254,1956,1631,1443,1048,519,325,164,52,2,0,2,0,1,0,0,1,2,3,0,1,0,0,6,4,0
20220709,1062,1124,2129,1740,1535,1108,492,315,156,54,1,0,2,0,1,0,0,1,2,3,0,1,0,0,6,4,0
20220708,837,1007,2091,1594,1422,940,421,257,159,46,2,1,2,0,1,0,0,0,2,2,0,0,0,0,4,3,0
20220707,858,925,2056,1573,1348,997,402,227,103,39,1,0,1,0,1,0,0,0,2,2,0,0,0,0,3,3,0
20220706,892,957,1912,1540,1380,892,368,251,112,34,3,0,1,0,1,0,0,1,2,2,1,0,0,0,5,3,0
20220705,534,615,1162,963,874,629,254,171,73,25,2,0,1,0,1,0,0,0,2,3,0,0,0,0,4,3,0
20220704,284,358,549,504,482,322,143,80,36,14,0,0,1,0,1,0,0,0,1,3,0,0,0,0,3,3,0
20220703,431,505,801,642,571,455,208,107,53,14,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,4,0
20220702,370,445,798,651,572,398,173,121,59,25,4,0,0,0,0,0,0,0,0,1,3,0,0,0,1,4,0
20220701,355,433,832,629,586,397,140,112,42,20,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,4,0
20220630,344,383,880,722,589,394,177,88,35,8,0,1,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0
20220629,413,402,840,744,599,455,188,99,45,16,2,0,0,0,0,0,0,1,0,3,1,0,0,0,5,0,0
20220628,297,259,502,449,415,335,133,73,43,8,0,0,0,0,0,0,0,1,0,3,1,0,0,0,5,0,0
20220627,181,157,314,260,249,196,74,45,31,10,0,0,0,0,0,0,0,1,0,2,1,0,0,0,4,0,0
20220626,250,231,379,351,308,260,109,61,42,12,1,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0
20220625,258,260,504,364,344,222,96,70,29,13,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0
