20210818,266,491,1661,1137,892,610,179,80,51,19,0,0,1,4,21,50,111,58,23,7,0,0,0,212,63,0
20210817,202,416,1326,917,736,503,156,70,38,13,0,0,1,5,21,50,110,59,24,6,0,0,0,214,62,0
20210816,166,283,927,572,459,350,100,44,38,22,1,0,1,5,21,55,103,56,21,6,0,0,0,209,59,0
20210815,212,413,1320,877,706,505,152,63,36,10,1,0,2,5,23,53,94,48,21,5,0,0,0,196,55,0
20210814,271,468,1568,1079,824,583,164,63,49,24,1,0,2,5,24,53,90,46,21,4,0,0,0,192,53,0
20210813,276,526,1810,1189,955,689,188,76,50,14,0,0,1,6,21,50,82,39,23,5,0,0,0,174,53,0
20210812,235,473,1490,1031,865,627,146,61,46,14,1,0,1,5,19,52,78,39,19,5,0,0,0,173,45,0
20210811,206,397,1262,867,727,485,146,55,43,9,3,0,1,5,14,52,67,36,18,4,0,0,0,156,41,0
20210810,106,225,844,560,420,296,82,40,29,10,0,0,1,4,14,43,62,32,17,3,0,0,0,138,38,0
20210809,142,262,982,566,436,318,106,36,30,6,0,0,1,4,10,36,58,29,16,3,0,0,0,123,34,0
20210808,188,353,1367,797,682,475,121,52,25,5,1,0,1,4,10,36,54,27,16,3,0,0,0,119,32,0
20210807,208,418,1467,982,675,543,161,63,39,9,1,0,1,3,11,33,56,26,16,4,0,0,0,122,28,0
20210806,188,369,1517,962,730,498,144,59,39,8,1,0,1,2,11,30,55,21,17,4,0,0,0,115,26,0
20210805,229,441,1600,1120,811,552,150,73,52,13,1,0,1,2,9,25,57,21,16,4,0,0,0,109,26,0
20210804,172,339,1380,885,658,493,136,55,37,10,1,0,0,2,6,22,48,19,15,3,0,0,0,95,20,0
20210803,157,321,1208,852,590,404,102,44,22,8,1,0,0,2,6,24,45,19,13,3,0,0,0,92,20,0
20210802,92,166,773,520,336,220,52,24,11,1,0,0,0,2,8,26,44,19,12,3,0,0,0,96,18,0
20210801,101,274,1146,634,433,323,78,36,25,7,1,0,0,2,6,17,36,19,15,1,0,0,5,78,18,5
20210731,153,354,1484,887,583,398,127,44,19,8,1,0,0,2,7,17,32,21,16,0,0,0,0,76,19,0
20210730,110,275,1208,725,515,324,83,30,23,7,0,0,0,2,6,16,31,18,15,0,0,0,0,73,15,0
20210729,120,323,1417,782,612,407,122,47,31,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20210728,138,250,1078,680,485,374,99,37,26,9,1,0,0,1,3,17,30,15,14,0,0,0,0,65,15,0
20210727,97,275,951,610,466,301,91,25,23,8,1,0,0,0,3,17,26,19,17,0,0,0,0,67,15,0
20210726,46,137,488,310,234,160,36,10,6,2,0,0,0,0,4,18,23,17,16,0,0,0,0,62,16,0
20210725,82,166,574,368,305,183,49,20,12,3,1,0,0,2,5,13,18,18,15,1,0,0,0,56,16,0
20210724,60,96,380,251,167,115,34,16,7,2,0,0,0,2,5,14,19,18,15,1,0,0,0,58,16,0
20210723,72,111,492,276,204,141,37,11,13,2,0,0,0,2,4,13,16,18,14,1,0,0,0,55,13,0
20210722,95,159,658,399,314,246,56,38,11,2,1,0,0,1,3,11,16,18,15,1,0,0,0,52,13,0
20210721,76,130,577,410,294,233,64,25,13,9,1,0,0,1,3,11,15,18,15,1,0,0,0,51,13,0
